edad;A00-B99;C00-D48;D50-D89;E00-E88;F01-F99;G00-G98;I00-I99;J00-J98;K00-K92;L00-L98;M00-M99;N00-N98;O00-O99;P00-P96;Q00-Q99;R00-R99;U00-U99;V01-Y89
0;-0.00248874;0.000122775;0.000193883;-0.000629247;0;-0.000780271;0.000423551;-0.001806092;-0.000972374;0;0;-0.000584886;0;-0.034864906;-0.00588268;-0.011545302;-0.000408895;-0.008454384
1;-0.000372962;-0.000288661;-0.000379124;-0.000147182;0;-0.000607217;-4.63E-06;-4.08E-05;-0.000454949;0;0;0;0;-0.000315784;-0.000424596;-0.000613539;0;-0.003318126
2;1.99E-05;-0.000116203;0;-0.000232455;0;0.00029558;-0.000415106;-5.98E-05;0.000381914;0;0;0;0;0;0.000855177;-0.000303854;0;-0.004380191
3;-4.91E-05;0.000107885;0;0.000406424;0;-0.000291286;0.00012899;-7.78E-05;0;0;0;0;0;0;-0.000232892;-0.00019529;0;-0.002991049
4;-0.000374984;0.000321809;0;0;0;-0.000146905;1.88E-05;-0.000374984;0;0;0;0;0;0;-0.000314213;0;0;-0.001824947
5;0;-0.000368796;0;0;0;-0.000383803;-0.0003324;2.11E-05;0;0;0;0;0;0;-0.000374756;0;0;-0.001426586
6;0;-0.000237796;0;0;0;-6.57E-06;0.000445807;-0.000246623;0;0;0;0;0;0;-0.000178037;0;0;-0.001152621
7;0;-0.000134312;0;-0.000323505;0;0.000151823;1.49E-05;-0.000199547;0;0;0;0;0;0;-7.46E-05;0;0;-0.000861395
8;0;0.000157259;0;0;0;-0.000135287;1.65E-05;1.65E-05;0;0;0;0;0;0;0.000417016;0;0;-0.000532127
9;0;-0.000109424;0;-0.000435205;0;-6.11E-05;-0.00031086;0.000489294;0;0;0;0;0;0;0.000150414;0;0;-0.001184049
10;0;-6.96E-05;0;-7.33E-05;0;-0.000122105;1.78E-05;-0.000285627;0;0;0;0;0;0;-1.55E-05;0;0;-0.001383005
11;0;-0.000389385;0;-4.02E-05;0;8.46E-05;4.71E-05;-0.000271619;0;0;0;0;0;0;7.63E-05;0;0;-0.00254169
12;0;0.000456521;0;-7.00E-05;0;5.74E-05;7.85E-05;-0.000487036;0;0;0;0;0;0;-0.000120193;0;0;-0.001558457
13;-0.000326281;-0.000133162;0;-0.000148516;0;-0.000627301;-3.71E-05;5.51E-05;0;0;0;0;0;0;-0.000516611;0;0;-0.003125011
14;0;-0.000464166;0;-0.000121879;0;-0.000651708;-0.000242476;2.44E-05;0;0;0;0;0;0;8.39E-05;-0.000462343;0;-0.006924493
15;0;-0.000569438;0;4.66E-05;0;-0.000464198;-0.000183631;0.000324731;0;0;0;0;0;0;-5.99E-05;-0.000350351;0;-0.011064294
16;0;-0.00028253;0;9.87E-05;0;-0.000342291;-0.000210644;2.02E-05;0;0;0;0;0;0;-7.78E-05;-0.000371929;0;-0.018120767
17;-0.000262554;-0.000584865;0;1.74E-05;0;-0.000871792;-0.000250509;-0.000111546;0;0;0;0;0;0;9.50E-05;-0.000428932;0;-0.024393795
18;-0.000360983;-0.000195178;0;-0.000345032;0;-0.000313128;-0.000185345;-0.000103856;1.37E-05;0;0;0;0.000269239;0;-5.91E-05;-0.000525523;0.000149432;-0.036071131
19;-8.86E-05;-0.000640138;0;-0.000245299;-0.000274157;-0.000438027;-0.000843965;-0.000173859;-0.000274157;0;0;0;0.000468599;0;-0.000158925;-0.000652952;-0.000202112;-0.042512821
20;-1.05E-05;-0.000484823;-0.000319047;8.26E-05;0;-0.000802017;-0.000412277;-0.000467071;-0.000210074;0;0;0;0.000461205;0;-0.000104343;-0.000614324;-0.000248354;-0.046107751
21;-0.000316322;-0.000840743;-0.000243325;-6.28E-05;-0.000281541;-0.000781329;-0.000798347;-0.000218247;-0.000510982;0;0;0;0.000710566;0;4.84E-05;-0.000826559;-0.000586369;-0.049499615
22;-0.000179273;-0.000458367;-0.000240057;-0.000470714;-0.000528126;-0.000655882;-0.000921353;8.34E-05;3.97E-05;0;0;0;0.000624706;0;-0.000125366;-0.000746567;-0.000106698;-0.052094771
23;-0.000146617;-0.001044049;-0.000328873;-0.000575125;-0.000217089;-0.000546006;-0.000466199;-3.58E-05;-0.000342985;0;0;9.38E-06;0.000830579;0;-0.00029319;-0.000893637;-0.000724511;-0.049616287
24;-0.000320182;-0.000267049;0;-0.000888931;-0.000350539;-0.001146941;-0.0010596;-0.000494053;-0.000341217;0;0.000405131;0.000285975;0.001191562;0;3.87E-05;-0.000962289;-0.000983323;-0.051738679
25;2.77E-05;-0.000237324;-7.85E-05;-0.000530072;-0.000510924;-0.000660704;-0.001440681;-0.000388081;-0.00032098;0;0.000252583;-9.87E-05;0.000964406;0;-0.000230269;-0.000829471;-0.000444472;-0.050956988
26;-0.000776134;0.000307425;-0.000137583;-0.000483114;-0.00056758;-0.0005377;-0.001466334;-0.00019415;-0.001371008;0;0;3.16E-05;0.000928985;0;-0.000351008;-0.001059062;-0.000614964;-0.050484212
27;-0.000421717;-0.000552138;-0.000224821;-0.00083308;-0.0003974;-0.000594802;-0.002074927;-0.000456388;-0.000560401;0;-0.000224821;1.01E-05;0.001442553;0;-0.00022897;-0.000718208;-0.001019352;-0.051140726
28;-0.000466405;0.00023377;-3.32E-05;-0.000682334;-0.000672538;-0.000601799;-0.002095263;-0.000880013;-0.000762354;0;-0.000256043;4.99E-05;0.001056345;0;-0.00028801;-0.000820307;-0.000851655;-0.052313522
29;-0.000724001;0.000165735;-1.16E-05;-0.000646682;-0.000680763;-0.000429127;-0.002900989;-0.00025649;-0.000894828;0;0.0003925;-0.000123417;0.001314875;0;-6.65E-05;-0.000735152;-0.001590362;-0.051585445
30;-0.000980117;6.29E-06;-6.77E-05;-0.000652763;-0.001099826;-0.000323297;-0.002201763;-0.000459645;-0.001361536;0;0.000423018;-0.000124087;0.001096002;0;-8.65E-05;-0.000784333;-0.000404549;-0.052669196
31;-0.000753587;0.000373324;4.63E-05;-0.001812788;-0.001118597;-0.000841718;-0.003748674;-0.000119223;-0.001017006;0;0.000269672;-0.000270851;0.001309836;0;-6.46E-05;-0.001054895;-0.001674508;-0.051165054
32;-0.000620662;0.00057431;-0.000164369;-0.000845306;-0.000524638;-0.000727227;-0.002662296;-0.000424534;-0.001327645;0;0.00019742;1.16E-05;0.001059752;0;1.08E-05;-0.000923785;-0.001561993;-0.047365381
33;-0.000663254;0.00136879;-0.00017752;-0.000668537;-0.001604089;-0.001165629;-0.003906564;-7.30E-05;-0.002113994;0;0.000120633;-0.000344078;0.001524495;0;-0.000179768;-0.000796198;-0.001829783;-0.044921024
34;-0.000878852;0.001833142;0.000118494;-0.000800286;-0.001522638;-0.000641288;-0.005829305;-0.000476281;-0.001902954;0;0.000137072;-0.000149201;0.001170422;0;-9.87E-05;-0.000628857;-0.002562848;-0.043998213
35;-0.000832451;0.001942787;-6.51E-05;-0.000749099;-0.001452459;-0.000350558;-0.004656941;-0.000396284;-0.002396119;0;0.000223163;1.35E-05;0.001149878;0;-0.000154109;-0.000747587;-0.002550597;-0.042729188
36;-0.000851785;0.001636808;-0.000100756;-0.001489943;-0.00162525;-0.000584828;-0.00598797;-0.000363434;-0.002207663;0;0.000275345;-0.000308482;0.001103312;0;-4.56E-05;-0.000696146;-0.002415249;-0.040432287
37;-0.000771203;0.00258796;-0.000286597;-0.001923228;-0.001455572;-0.000442252;-0.006896486;2.56E-05;-0.002705231;-0.000206464;5.78E-05;8.24E-05;0.001117539;0;9.29E-05;-0.000624298;-0.00316688;-0.039892385
38;-0.000232408;0.001599683;-4.71E-05;-0.001970144;-0.001986082;-0.000469015;-0.008043718;-0.000142046;-0.002976544;0.000204627;0.000344021;0.000111027;0.00097198;0;-0.000181625;-0.00050992;-0.00279168;-0.036704465
39;-0.001053996;0.003030275;0.000123338;-0.001556304;-0.002209759;-0.000489695;-0.008964522;-0.00033769;-0.002796131;0.000183681;0.000238291;0.00011266;0.000951801;0;-9.44E-05;-0.000695449;-0.003092472;-0.04016216
40;-0.000821812;0.001128835;-9.53E-05;-0.002621821;-0.002385732;-0.000824335;-0.008781527;-0.000521541;-0.002753037;0;0.000268625;-5.71E-05;0.000930254;0;-0.000243184;-0.000880949;-0.003192824;-0.03640012
41;-0.000997726;0.003068097;3.56E-05;-0.001963059;-0.002071907;-0.000519863;-0.010080238;-0.000564428;-0.002697317;0;0.000168326;-0.000292943;0.00051441;0;-0.00013001;-0.000903114;-0.00360777;-0.032789981
42;-0.000993607;0.002937773;-0.000132474;-0.002585462;-0.00242168;-0.0009938;-0.010427767;-9.58E-05;-0.00313099;0;0.000199967;-0.000214419;0.00051525;0;-0.00019885;-0.000529852;-0.00439397;-0.031482803
43;-0.000835808;0.002750712;-9.84E-05;-0.002160432;-0.001927778;-0.000427162;-0.012535438;-0.000494326;-0.002897886;-1.66E-05;0.000113252;-0.00042591;0.000570156;0;-3.32E-05;-0.00076856;-0.003679675;-0.03031428
44;-0.000526064;0.002669685;0.000210539;-0.002046176;-0.001795362;-0.000916037;-0.012101218;-0.000430475;-0.002718636;-3.30E-05;0.000340568;-0.000312456;0.000341326;0;8.04E-05;-0.000832685;-0.005273675;-0.028920266
45;-0.000551651;0.002802881;-0.000129218;-0.002479616;-0.002402168;-0.000549799;-0.012269673;-0.000982297;-0.003516742;-0.000253767;0.000313586;-0.000371551;0;0;-0.000112713;-0.000212303;-0.006133067;-0.025965669
46;-0.000364309;0.003222868;-0.000175768;-0.003586214;-0.002172809;-0.000469969;-0.01501387;-0.000763794;-0.002832571;6.08E-05;0.000167128;-0.000495632;0;0;-5.03E-05;-0.000337766;-0.005961331;-0.02599533
47;-0.000719297;0.003909921;2.52E-05;-0.002844821;-0.002928154;-0.000599998;-0.017007145;-0.00030259;-0.003629456;-1.47E-06;0.000290788;1.43E-05;0;0;-0.000182145;-0.000291494;-0.00673532;-0.025439452
48;-0.001677105;0.00200946;6.41E-05;-0.003205362;-0.002130524;-0.000743482;-0.018754004;-0.000464116;-0.003829614;-2.03E-06;0.000355111;-0.000568978;0;0;-0.000128313;-0.001094083;-0.007159758;-0.025257892
49;-0.001019201;0.000373974;-0.000153325;-0.003858781;-0.002710722;-0.000146506;-0.019320523;2.47E-05;-0.003686645;3.73E-05;0.000212942;-0.000978016;0;0;-0.000114933;-0.000622671;-0.006937943;-0.02389442
50;-0.001060127;0.003051965;-3.89E-05;-0.003882372;-0.002620314;-0.000558255;-0.022402067;-0.000429444;-0.003388796;-0.000163264;0.000222882;-0.000831062;0;0;9.86E-05;-0.000965743;-0.007355638;-0.024475646
51;-0.00133262;0.00263328;-0.000114591;-0.004116763;-0.002828125;-0.000462354;-0.022253679;-0.000800715;-0.005578928;4.83E-05;0.000268893;-0.00044595;0;0;-8.93E-05;-0.000662809;-0.009015748;-0.020585849
52;-0.001344524;0.001490246;-5.55E-05;-0.004048211;-0.002603496;-0.000116167;-0.025369334;-0.000532486;-0.005300776;-2.81E-05;1.71E-05;-0.000799409;0;0;-4.02E-06;-0.000802276;-0.00916678;-0.022214325
53;-0.001943472;0.000808898;-3.13E-05;-0.004358924;-0.003085901;-0.000839325;-0.024968987;-0.000595677;-0.005910289;-0.000133427;0.000130807;-0.000953613;0;0;0.00012084;-0.000477841;-0.008527314;-0.021478429
54;-0.00190164;-8.06E-05;4.28E-07;-0.004201968;-0.003161494;-0.001257261;-0.030686412;-0.001535393;-0.004859034;2.71E-05;0.000197378;-0.00071979;0;0;-9.11E-05;-0.000972825;-0.009091772;-0.019152936
55;-0.001650906;-0.003534057;-0.000100789;-0.006096263;-0.003083459;-0.000798037;-0.029996276;-0.00162379;-0.005920121;1.40E-06;9.53E-05;-0.001259938;0;0;-5.86E-05;-0.000976706;-0.010056486;-0.019124497
56;-0.00224258;-0.00469696;-7.80E-05;-0.005530316;-0.003194777;-0.001059875;-0.031831781;-0.001672019;-0.007067974;6.85E-05;5.15E-05;-0.000807143;0;0;-1.15E-05;-0.000950622;-0.009878644;-0.020013157
57;-0.001505642;-0.005090555;-0.000120638;-0.005217105;-0.003180752;-0.000950772;-0.033353832;-0.001355165;-0.006485385;-9.87E-05;0.000307377;-0.000789434;0;0;7.15E-05;-0.000959266;-0.008603569;-0.017823374
58;-0.001988389;-0.006926308;4.41E-05;-0.005612239;-0.003457417;-0.000850686;-0.035647844;-0.001245373;-0.007197124;2.08E-05;2.70E-05;-0.000959692;0;0;-0.000170575;-0.000883897;-0.008903068;-0.018490115
59;-0.002438699;-0.007546179;9.28E-05;-0.005313319;-0.003084309;-0.00072328;-0.034888233;-0.002570515;-0.006553468;-5.35E-05;0.000133581;-0.000622888;0;0;-0.000228512;-0.000892601;-0.011840037;-0.016918272
60;-0.002512028;-0.010821209;-7.53E-07;-0.005714483;-0.003121242;-0.000676313;-0.038442183;-0.00164571;-0.005687183;-6.59E-06;0.000161255;-0.001215735;0;0;-1.70E-05;-0.000864823;-0.01067179;-0.015642933
61;-0.002440283;-0.011960289;-0.000154065;-0.005956976;-0.002810286;-0.001535462;-0.039380661;-0.003413922;-0.006390722;-6.21E-05;8.83E-05;-0.001300394;0;0;0.000206642;-0.000837733;-0.012033744;-0.014658267
62;-0.001981019;-0.013281138;9.41E-05;-0.006767151;-0.00297956;-0.001270153;-0.03912978;-0.003559463;-0.006093819;-1.26E-05;0.000276508;-0.001177316;0;0;-7.73E-05;-0.000931971;-0.012777025;-0.013575056
63;-0.001987684;-0.015985902;-0.000229543;-0.005825226;-0.003352556;-0.001199911;-0.040979251;-0.004049945;-0.006466294;-7.75E-05;3.20E-05;-0.001478272;0;0;-5.27E-05;-0.000891152;-0.012524617;-0.012747038
64;-0.001659603;-0.016569454;-0.000161487;-0.005729666;-0.002850936;-0.001212125;-0.042222539;-0.003966522;-0.005976572;-0.000106124;4.00E-05;-0.001455962;0;0;-6.40E-05;-0.000986061;-0.013133223;-0.012545852
65;-0.001839784;-0.017322597;-0.000254948;-0.007633217;-0.002221373;-0.00179331;-0.039178135;-0.005506583;-0.005458148;-0.000150745;-2.78E-05;-0.001171712;0;0;-4.42E-05;-0.001059513;-0.013302317;-0.010570239
66;-0.00219538;-0.019325793;3.12E-05;-0.006154817;-0.002641979;-0.001546233;-0.040850231;-0.006070273;-0.004636733;-7.68E-05;0.000112565;-0.001520134;0;0;-4.15E-05;-0.000942958;-0.015448185;-0.010092402
67;-0.00148652;-0.020146354;0.000206847;-0.006481089;-0.002112198;-0.002044066;-0.039642654;-0.006603037;-0.004089522;-0.000125458;0.000150212;-0.001037998;0;0;-4.30E-05;-0.000936262;-0.013830977;-0.009761644
68;-0.001683576;-0.020872038;-8.21E-05;-0.005369091;-0.002090366;-0.00146457;-0.03970624;-0.006531966;-0.004462331;-0.000183247;0.000100237;-0.001354879;0;0;-6.28E-05;-0.000535163;-0.014562766;-0.008252395
69;-0.002249956;-0.021227583;-8.42E-05;-0.006081782;-0.001568235;-0.001666011;-0.036211567;-0.006351112;-0.003888683;-1.37E-06;0.000101966;-0.001158087;0;0;7.38E-06;-0.000782843;-0.015499894;-0.008367668
70;-0.001692809;-0.021285855;-0.000198044;-0.005638551;-0.001807822;-0.002155764;-0.037534865;-0.006116664;-0.003197238;3.84E-05;0.000258248;-0.000752645;0;0;-6.00E-05;-0.000733037;-0.016860174;-0.007494298
71;-0.001522294;-0.020613884;-3.42E-05;-0.006374044;-0.001155065;-0.001774677;-0.034612992;-0.006416986;-0.002707926;-4.37E-05;7.54E-07;-0.001120278;0;0;3.06E-05;-0.000363774;-0.014781924;-0.00663124
72;-0.001453296;-0.020427467;-9.78E-05;-0.006089393;-0.001051616;-0.001559934;-0.032956365;-0.00726369;-0.002324812;-2.62E-05;-7.31E-05;-0.000997783;0;0;-6.97E-05;-0.000598536;-0.015773376;-0.005957412
73;-0.000782397;-0.020080451;-0.000153874;-0.005453892;-0.000784667;-0.001973133;-0.031698395;-0.006061638;-0.002140141;-0.000134032;0.000292228;-0.001185948;0;0;-5.41E-05;-0.000503381;-0.015314349;-0.005411466
74;-0.001587768;-0.020803683;-4.45E-05;-0.004625928;-0.000702461;-0.00197571;-0.032188348;-0.007092072;-0.002221444;-9.82E-06;6.00E-05;-0.001487817;0;0;-2.43E-05;-0.000476628;-0.016489441;-0.005564163
75;-0.001464926;-0.021622248;-0.000226171;-0.004725883;7.81E-05;-0.002970014;-0.03121761;-0.006705965;-0.001821762;-3.53E-06;0.000416979;-0.001076766;0;0;1.40E-05;-0.000465969;-0.01551518;-0.005473454
76;-0.001474064;-0.021033643;-0.000104791;-0.004931921;-6.12E-05;-0.003454799;-0.033137295;-0.007876467;-0.001528565;0.000141949;-3.08E-05;-0.001729166;0;0;-3.87E-05;-0.000110456;-0.016753792;-0.005339039
77;-0.001637797;-0.022506307;9.11E-06;-0.004279028;0.000268965;-0.00286097;-0.03204534;-0.007797255;-0.001638353;-8.18E-06;0.000143301;-0.002128112;0;0;-4.42E-05;-0.000473837;-0.016418421;-0.005020896
78;-0.001703195;-0.021354558;-0.000175986;-0.004583157;-0.000416003;-0.002791253;-0.031967642;-0.008227409;-0.001989478;4.69E-05;3.35E-05;-0.001311305;0;0;1.27E-06;-0.000416648;-0.016440497;-0.004685078
79;-0.000973778;-0.020445712;-2.54E-05;-0.00435785;0.000143701;-0.00294928;-0.028183923;-0.007440638;-0.001243781;0.000137244;3.75E-05;-0.002008773;0;0;-2.68E-05;-0.00030036;-0.015942664;-0.004838536
80;-0.001007193;-0.019719776;-6.72E-05;-0.004441623;0.001052945;-0.001388633;-0.027333121;-0.007988643;-0.00128389;-6.19E-05;0.000214577;-0.001952048;0;0;-7.84E-05;-0.000228057;-0.0161815;-0.00450826
81;-0.001108684;-0.019824453;-0.00011368;-0.003468522;0.0012472;-0.002131586;-0.025889778;-0.006898607;-0.001120028;-7.43E-06;8.52E-05;-0.001884625;0;0;2.45E-05;-0.000188267;-0.014896215;-0.004960517
82;-0.000661631;-0.018300696;-0.000157807;-0.003854449;0.001273406;-0.001150305;-0.025523792;-0.00726221;-0.000621321;-2.58E-05;0.00012421;-0.001813482;0;0;-7.60E-06;4.11E-05;-0.013132182;-0.003727014
83;-0.001092839;-0.017860239;-0.000138938;-0.00328709;0.002177736;-0.001999682;-0.02493162;-0.007051347;-0.001047637;-3.61E-05;0.000146449;-0.00182273;0;0;2.83E-05;-0.000501712;-0.014016275;-0.003937106
84;-0.000837336;-0.017532823;-0.0001377;-0.003076655;0.001954394;-0.000650069;-0.022469629;-0.007150844;-0.00106312;-5.34E-05;-7.85E-05;-0.001818428;0;0;-2.50E-05;-0.000144008;-0.01216608;-0.003568987
85;-0.00110203;-0.017104804;-0.000114661;-0.002363936;0.001219504;-0.001150413;-0.022374476;-0.006892473;-0.00064609;-4.21E-05;7.38E-05;-0.00226561;0;0;-8.73E-05;-0.000279198;-0.011383223;-0.003748475
86;-0.001129981;-0.015335136;-7.50E-05;-0.002276092;0.001552969;-0.000123993;-0.018728936;-0.006558538;-0.000755147;-2.55E-05;0.000113298;-0.00198785;0;0;-2.52E-05;5.45E-05;-0.011027004;-0.003756265
87;-0.000612566;-0.014798746;-0.000236115;-0.002736961;0.001766122;0.000880487;-0.018781024;-0.006160995;-0.000871306;-8.81E-05;3.88E-05;-0.001900632;0;0;-4.30E-06;-0.000136749;-0.009376335;-0.003215671
